cep,latitude,longitude
57330000,-9.8313466,-36.7362047
46750000,-13.0011799,-41.3893093
64550000,-7.2431542,-42.5137182
96450000,-30.9744824,-54.6770607
56400000,-8.5999409,-38.5725329
68780000,-0.860894,-48.1397321
39470000,-15.0970661,-44.0946424
28640000,-21.9276844,-42.6083292
95711000,-29.196004,-51.59886
88215000,-27.1501431,-48.5050388
60160041,-3.7287146,-38.5070683
41740260,-12.967357,-38.419175
12228260,-23.258585,-45.8323469
68925000,-0.0635494,-51.166655
93990000,-29.522615,-51.0636552
59360000,-6.6896365,-36.6585247
68940000,-0.2242013,-51.5308693
18010260,-23.4991141,-47.4526229
07700005,-23.3592949,-46.7409146
20397180,-22.7525571,-43.1071851
27197000,-22.5187446,-44.0015831
13419210,-22.7311782,-47.644059
69980000,-7.6297137,-72.6753161
59570000,-5.6397198,-35.4204308
44790000,-10.5079468,-40.328887
66065310,-1.4690136,-48.470413
45051000,-14.8504248,-40.8549305
75340000,-16.9655254,-49.227991
22010020,-22.9611331,-43.1653211
52070381,-8.0244763,-34.9208713
64500000,-7.0148367,-42.1256943
62730000,-4.1384734,-39.0913677
52041080,-8.0500656,-34.8736641
99670000,-27.7822788,-52.8026081
76400000,-14.5265855,-49.1461512
51020190,-8.1131605,-34.8942395
20730460,-22.9013108,-43.3011782
24942395,-22.9246667,-42.8440685
68943000,-0.113244,-51.5517912
58400052,-7.2168904,-35.893987
55805000,-7.8029201,-35.2369504
57025050,-9.6630552,-35.7216302
28470000,-21.578335,-42.233705
04347110,-23.6453539,-46.6469687
57014340,-9.6611145,-35.752706
64190000,-4.0252734,-42.075882
45280000,-14.750684,-40.0727866
55200000,-8.3568592,-36.6993598
95010100,-29.1743002,-51.169426
66025190,-1.4683007,-48.4988792
66017050,-1.4525469,-48.4981252
45360000,-13.4413592,-40.432856
76850000,-10.9727511,-65.2432794
60533697,-3.7703564,-38.6004085
90810070,-30.0816503,-51.2367843
35720000,-19.5650153,-44.0687153
76940000,-11.724222,-61.7591199
72876015,-16.0696945,-47.9821831
11900000,-24.4893942,-47.8458373
73850000,-16.7676914,-47.6123835
77500000,-10.667599,-48.4130133
84020240,-25.0841923,-50.1451171
78050000,-15.5794,-56.0762274
90160090,-30.0484326,-51.2254754
72930000,-16.0816856,-48.5026599
77650000,-9.568619,-48.4047155
64130000,-4.164345,-42.8791623
78580000,-9.8803916,-56.095904
65393000,-4.3404623,-46.4299026
58487000,-7.3595292,-35.7828547
64800250,-6.7729787,-43.0284501
54786380,-7.9540801,-35.005144
60181170,-3.7283366,-38.4737114
79210000,-20.4861995,-55.8268264
